origin,dest,lat1,lon1,lat2,lon2,value
deu,jpn,51.165690999999995,10.451526,36.204824,138.252924,46422537981.0
hkg,jpn,22.396428,114.10949699999999,36.204824,138.252924,45619205189.5
jpn,hkg,36.204824,138.252924,22.396428,114.10949699999999,45619205189.5
usa,mys,37.09024,-95.712891,4.210483999999999,101.97576600000001,44236018630.5
mys,usa,4.210483999999999,101.97576600000001,37.09024,-95.712891,44236018630.5
tur,deu,38.963745,35.243322,51.165690999999995,10.451526,42486090889.5
deu,tur,51.165690999999995,10.451526,38.963745,35.243322,42486090889.5
irl,gbr,53.41291,-8.243889999999999,55.378051,-3.435973,41920845496.0
gbr,irl,55.378051,-3.435973,53.41291,-8.243889999999999,41920845496.0
hkg,kor,22.396428,114.10949699999999,35.907757000000004,127.766922,40948856065.5
kor,hkg,35.907757000000004,127.766922,22.396428,114.10949699999999,40948856065.5
gbr,ita,55.378051,-3.435973,41.87194,12.56738,40593987535.0
ita,gbr,41.87194,12.56738,55.378051,-3.435973,40593987535.0
esp,prt,40.463667,-3.7492199999999998,39.399871999999995,-8.224454,40304513534.5
prt,esp,39.399871999999995,-8.224454,40.463667,-3.7492199999999998,40304513534.5
chn,phl,35.86166,104.195397,12.879721,121.77401699999999,39568981843.0
phl,chn,12.879721,121.77401699999999,35.86166,104.195397,39568981843.0
chn,che,35.86166,104.195397,46.818188,8.227511999999999,37938515763.0
che,chn,46.818188,8.227511999999999,35.86166,104.195397,37938515763.0
chl,chn,-35.675146999999996,-71.542969,35.86166,104.195397,37129550276.5
chn,chl,35.86166,104.195397,-35.675146999999996,-71.542969,37129550276.5
bel,ita,50.503887,4.469936,41.87194,12.56738,36868977187.5
ita,bel,41.87194,12.56738,50.503887,4.469936,36868977187.5
che,ita,46.818188,8.227511999999999,41.87194,12.56738,36811831288.5
ita,che,41.87194,12.56738,46.818188,8.227511999999999,36811831288.5
esp,chn,40.463667,-3.7492199999999998,35.86166,104.195397,36695739506.5
chn,esp,35.86166,104.195397,40.463667,-3.7492199999999998,36695739506.5
zaf,chn,-30.559482,22.937506,35.86166,104.195397,36471965748.0
chn,zaf,35.86166,104.195397,-30.559482,22.937506,36471965748.0
sgp,idn,1.352083,103.819836,-0.789275,113.921327,36008903560.5
idn,sgp,-0.789275,113.921327,1.352083,103.819836,36008903560.5
deu,dnk,51.165690999999995,10.451526,56.26392,9.501785,35510389395.5
dnk,deu,56.26392,9.501785,51.165690999999995,10.451526,35510389395.5
gbr,esp,55.378051,-3.435973,40.463667,-3.7492199999999998,35503238047.5
esp,gbr,40.463667,-3.7492199999999998,55.378051,-3.435973,35503238047.5
fra,che,46.227638,2.213749,46.818188,8.227511999999999,35147500287.5
che,fra,46.818188,8.227511999999999,46.227638,2.213749,35147500287.5
ita,nld,41.87194,12.56738,52.132633,5.291266,35130133681.5
nld,ita,52.132633,5.291266,41.87194,12.56738,35130133681.5
gbr,che,55.378051,-3.435973,46.818188,8.227511999999999,34667429806.5
che,gbr,46.818188,8.227511999999999,55.378051,-3.435973,34667429806.5
rou,deu,45.943160999999996,24.96676,51.165690999999995,10.451526,34480987019.0
deu,rou,51.165690999999995,10.451526,45.943160999999996,24.96676,34480987019.0
kor,aus,35.907757000000004,127.766922,-25.274398,133.775136,34246537808.0
aus,kor,-25.274398,133.775136,35.907757000000004,127.766922,34246537808.0
jpn,idn,36.204824,138.252924,-0.789275,113.921327,34054868566.5
idn,jpn,-0.789275,113.921327,36.204824,138.252924,34054868566.5
aus,usa,-25.274398,133.775136,37.09024,-95.712891,34015180242.5
usa,aus,37.09024,-95.712891,-25.274398,133.775136,34015180242.5
jpn,sgp,36.204824,138.252924,1.352083,103.819836,33879307803.0
sgp,jpn,1.352083,103.819836,36.204824,138.252924,33879307803.0
jpn,mys,36.204824,138.252924,4.210483999999999,101.97576600000001,32378240318.0
mys,jpn,4.210483999999999,101.97576600000001,36.204824,138.252924,32378240318.0
svk,deu,48.669026,19.699023999999998,51.165690999999995,10.451526,31757117330.0
deu,svk,51.165690999999995,10.451526,48.669026,19.699023999999998,31757117330.0
blr,rus,53.709807,27.953389,61.52401,105.31875600000001,31351636461.5
rus,blr,61.52401,105.31875600000001,53.709807,27.953389,31351636461.5
kor,deu,35.907757000000004,127.766922,51.165690999999995,10.451526,30944747355.0
deu,kor,51.165690999999995,10.451526,35.907757000000004,127.766922,30944747355.0
ind,hkg,20.593684,78.96288,22.396428,114.10949699999999,30776928973.0
hkg,ind,22.396428,114.10949699999999,20.593684,78.96288,30776928973.0
isr,usa,31.046051000000002,34.851612,37.09024,-95.712891,30389538338.0
usa,isr,37.09024,-95.712891,31.046051000000002,34.851612,30389538338.0
idn,usa,-0.789275,113.921327,37.09024,-95.712891,30319652844.5
usa,idn,37.09024,-95.712891,-0.789275,113.921327,30319652844.5
irn,chn,32.427908,53.68804599999999,35.86166,104.195397,30181557776.5
chn,irn,35.86166,104.195397,32.427908,53.68804599999999,30181557776.5
nld,rus,52.132633,5.291266,61.52401,105.31875600000001,30060992318.5
rus,nld,61.52401,105.31875600000001,52.132633,5.291266,30060992318.5
usa,esp,37.09024,-95.712891,40.463667,-3.7492199999999998,28000221883.0
esp,usa,40.463667,-3.7492199999999998,37.09024,-95.712891,28000221883.0
bra,arg,-14.235004,-51.92528,-38.416097,-63.616671999999994,27049588879.5
arg,bra,-38.416097,-63.616671999999994,-14.235004,-51.92528,27049588879.5
can,mex,56.130366,-106.34677099999999,23.634501,-102.552784,26870790421.5
mex,can,23.634501,-102.552784,56.130366,-106.34677099999999,26870790421.5
pol,chn,51.919438,19.145135999999997,35.86166,104.195397,26536754531.5
chn,pol,35.86166,104.195397,51.919438,19.145135999999997,26536754531.5
nor,gbr,60.472024,8.468946,55.378051,-3.435973,26395543757.5
gbr,nor,55.378051,-3.435973,60.472024,8.468946,26395543757.5
chn,bel,35.86166,104.195397,50.503887,4.469936,26257174303.0
bel,chn,50.503887,4.469936,35.86166,104.195397,26257174303.0
che,hkg,46.818188,8.227511999999999,22.396428,114.10949699999999,26252029600.5
hkg,che,22.396428,114.10949699999999,46.818188,8.227511999999999,26252029600.5
sgp,kor,1.352083,103.819836,35.907757000000004,127.766922,26199021795.0
kor,sgp,35.907757000000004,127.766922,1.352083,103.819836,26199021795.0
usa,col,37.09024,-95.712891,4.570868,-74.297333,25456640072.5
col,usa,4.570868,-74.297333,37.09024,-95.712891,25456640072.5
rus,ita,61.52401,105.31875600000001,41.87194,12.56738,25441644792.0
ita,rus,41.87194,12.56738,61.52401,105.31875600000001,25441644792.0
chn,tur,35.86166,104.195397,38.963745,35.243322,25336917416.5
tur,chn,38.963745,35.243322,35.86166,104.195397,25336917416.5
esp,nld,40.463667,-3.7492199999999998,52.132633,5.291266,25303724640.0
nld,esp,52.132633,5.291266,40.463667,-3.7492199999999998,25303724640.0
ita,pol,41.87194,12.56738,51.919438,19.145135999999997,24395436004.5
pol,ita,51.919438,19.145135999999997,41.87194,12.56738,24395436004.5
usa,chl,37.09024,-95.712891,-35.675146999999996,-71.542969,23588534515.0
chl,usa,-35.675146999999996,-71.542969,37.09024,-95.712891,23588534515.0
cze,pol,49.817492,15.472961999999999,51.919438,19.145135999999997,23525032276.0
pol,cze,51.919438,19.145135999999997,49.817492,15.472961999999999,23525032276.0
